,City,Lat,Lng,Temp,Humidity,Max Temp,Cloudiness,Wind Speed,Country,Date
116,Hong Kong,22.29,114.16,83.03,79,84.0,76,8.99,HK,1598537199
117,Kapaa,22.08,-159.32,69.62,78,73.0,20,12.75,US,1598537199
118,Hobyo,5.35,48.53,78.96,72,78.96,98,28.16,SO,1598537199
119,Rocha,-34.48,-54.33,57.43,84,57.43,100,10.25,UY,1598537199
120,Hammerfest,70.66,23.68,48.2,61,48.2,75,29.97,NO,1598537199
121,Mahébourg,-20.41,57.7,73.4,73,73.4,40,11.41,MU,1598537199
122,Dongsheng,39.82,109.98,72.05,42,72.05,35,11.59,CN,1598537199
123,Nikolskoye,59.7,30.79,53.74,82,55.4,90,6.71,RU,1598537200
124,Laas,46.62,10.7,68.0,34,68.0,40,8.05,IT,1598537200
125,Paamiut,61.99,-49.67,43.27,73,43.27,100,6.42,GL,1598537200
126,Nelson Bay,-32.72,152.15,51.46,57,54.0,0,8.05,AU,1598537166
127,Touros,-5.2,-35.46,82.4,61,82.4,40,13.87,BR,1598537201
128,Tabou,4.42,-7.35,78.98,77,78.98,100,10.58,CI,1598537201
129,Buala,-8.14,159.59,81.19,79,81.19,100,11.32,SB,1598537201
130,Chamalières,45.78,3.06,86.0,30,86.0,62,8.05,FR,1598537201
131,Korisos,40.5,21.38,86.74,35,89.01,0,5.82,GR,1598537201
132,Pevek,69.7,170.31,35.73,95,35.73,13,0.36,RU,1598537201
133,Miraflores,19.22,-98.81,61.43,77,62.01,75,9.17,MX,1598537202
134,Aklavik,68.22,-135.01,41.0,93,41.0,90,8.05,CA,1598537202
135,Severo-Kuril'sk,50.68,156.12,51.4,89,51.4,100,12.44,RU,1598537202
136,Port Elizabeth,-33.92,25.57,66.2,63,66.2,0,8.05,ZA,1598537202
137,Campo Maior,-4.83,-42.17,94.84,31,94.84,99,6.76,BR,1598537203
138,Yamada,39.47,141.95,76.62,86,76.62,0,6.71,JP,1598537203
139,Lorengau,-2.02,147.27,81.55,79,81.55,53,8.81,PG,1598537203
140,Mindelo,16.89,-24.98,86.0,58,86.0,75,5.82,CV,1598537203
141,Lavrentiya,65.58,-171.0,45.41,88,45.41,28,3.8,RU,1598537203
142,Lahat,-3.8,103.53,77.88,71,77.88,54,2.39,ID,1598536985
143,New Norfolk,-42.78,147.06,43.38,76,46.0,6,7.0,AU,1598537203
144,Bay Roberts,47.6,-53.26,61.79,1,63.0,16,11.92,CA,1598537204
145,Mayfield,36.74,-88.64,77.34,94,78.01,1,6.4,US,1598537204
146,George Town,5.41,100.34,83.25,74,84.2,20,6.93,MY,1598537020
147,Moyobamba,-6.05,-76.97,75.74,61,75.74,38,1.36,PE,1598537204
148,Kavieng,-2.57,150.8,82.15,73,82.15,1,3.94,PG,1598537204
149,Arraial do Cabo,-22.97,-42.03,73.15,83,75.2,75,8.05,BR,1598537107
150,Srednekolymsk,67.45,153.68,39.58,87,39.58,88,4.61,RU,1598537204
151,Novaya Ladoga,60.1,32.3,56.23,90,56.23,100,7.38,RU,1598537204
152,Vardø,70.37,31.11,47.3,66,48.2,40,12.75,NO,1598537205
153,Mataura,-46.19,168.86,45.0,72,45.0,100,11.01,NZ,1598537205
154,Quelimane,-17.88,36.89,82.2,65,82.4,40,6.93,MZ,1598537205
155,Carnarvon,-24.87,113.63,68.0,100,68.0,27,11.41,AU,1598537205
156,Walvis Bay,-22.96,14.51,61.77,55,66.2,2,14.99,NA,1598537205
157,Trelew,-43.25,-65.31,56.68,38,56.68,0,16.84,AR,1598537205
158,Mar del Plata,-38.0,-57.56,56.53,76,59.0,0,11.41,AR,1598537159
159,Luján,-34.57,-59.1,59.88,69,62.01,73,4.0,AR,1598537205
160,Maţāy,28.42,30.78,98.92,15,98.92,0,14.16,EG,1598537206
161,Perth,-31.93,115.83,58.73,87,62.01,0,5.82,AU,1598537206
162,Deputatsky,69.3,139.9,29.95,97,29.95,0,2.1,RU,1598537206
163,East London,-33.02,27.91,69.8,60,69.8,0,18.34,ZA,1598537207
164,Chokurdakh,70.63,147.92,35.98,84,35.98,100,8.14,RU,1598537207
165,Talnakh,69.49,88.4,60.8,63,60.8,40,13.42,RU,1598537207
166,Linxia Chengguanzhen,35.6,103.21,63.84,48,63.84,18,3.02,CN,1598537208
167,Cherskiy,68.75,161.3,37.31,92,37.31,100,6.6,RU,1598537208
168,Berlevåg,70.86,29.09,46.4,65,46.4,75,14.99,NO,1598537209
169,‘Ewa Beach,21.32,-158.01,75.47,73,78.8,1,3.36,US,1598537209
170,Sobolevo,54.43,31.9,60.67,90,60.67,100,10.09,RU,1598537209
171,Saint Paul Harbor,57.79,-152.41,50.94,89,50.94,100,8.28,US,1598537209
172,Douentza,15.0,-2.95,94.91,38,94.91,42,2.68,ML,1598537210
173,Gornyak,50.99,81.47,61.03,74,61.03,73,6.69,RU,1598537210
174,Ardakān,32.31,54.02,93.2,14,93.2,20,6.93,IR,1598537210
175,Souillac,-20.52,57.52,73.4,73,73.4,40,11.41,MU,1598537210
176,Cañete,-37.8,-73.4,51.1,73,51.1,98,6.02,CL,1598537210
177,Gavrilov Posad,56.56,40.12,68.43,58,68.43,58,6.06,RU,1598537210
178,San Carlos,9.66,-68.58,84.47,71,84.47,4,1.43,VE,1598537211
179,Ponta Porã,-22.54,-55.73,75.2,33,75.2,20,11.41,BR,1598537211
180,Comodoro Rivadavia,-45.87,-67.5,48.2,66,48.2,75,12.75,AR,1598537149
181,Rincon,32.3,-81.24,84.31,83,86.0,40,1.5,US,1598537211
182,Fairbanks,64.84,-147.72,49.01,100,50.0,1,2.77,US,1598536950
183,Tura,25.52,90.22,76.68,82,76.68,42,4.79,IN,1598537211
184,Kouango,4.99,19.96,86.23,64,86.23,53,1.45,CF,1598537211
185,Hermiston,45.84,-119.29,53.46,81,55.99,1,5.14,US,1598536921
186,Naryan-Mar,67.67,53.09,59.54,79,59.54,86,5.61,RU,1598537212
187,Cabinda,-5.55,12.2,77.79,71,77.79,96,9.44,AO,1598537212
188,Ventspils,57.39,21.56,66.2,59,66.2,20,11.41,LV,1598537195
189,Tayshet,55.93,98.0,52.75,96,52.75,0,5.03,RU,1598537212
190,Diffa,13.32,12.61,92.86,41,92.86,97,0.72,NE,1598537212
191,Yinchuan,38.47,106.27,80.17,26,80.17,0,7.54,CN,1598537212
192,Tuatapere,-46.13,167.68,45.0,72,45.0,82,11.01,NZ,1598537213
193,Sisimiut,66.94,-53.67,50.41,60,50.41,63,1.86,GL,1598537213
194,Vikārābād,17.33,77.9,74.98,94,77.0,90,5.82,IN,1598537213
195,Grand Gaube,-20.01,57.66,73.0,73,73.0,0,5.99,MU,1598537213
196,Riyadh,24.69,46.72,105.8,13,105.8,0,5.82,SA,1598536988
197,Ladário,-19.0,-57.6,88.38,38,91.4,0,8.05,BR,1598537213
198,Sühbaatar,50.23,106.21,56.79,87,56.79,100,6.73,MN,1598537213
199,Lagos,6.58,3.75,89.6,59,89.6,75,8.05,NG,1598537068
200,Pudozh,61.81,36.53,62.85,55,62.85,79,5.35,RU,1598537214
201,Araouane,18.9,-3.53,102.09,23,102.09,0,1.34,ML,1598537214
202,Asău,46.43,26.4,84.56,30,86.0,0,14.99,RO,1598537214
203,Nānākuli,21.39,-158.15,73.78,73,78.01,1,3.36,US,1598537214
204,Pangai,-19.8,-174.35,74.88,72,74.88,73,15.77,TO,1598537214
205,Inírida,3.87,-67.92,84.2,72,84.2,1,2.19,CO,1598537215
206,Vestmannaeyjar,63.44,-20.27,51.8,71,51.8,75,10.29,IS,1598536945
207,Forestville,38.85,-76.88,81.46,74,84.0,1,11.41,US,1598537206
208,Jiuquan,39.74,98.52,67.39,25,67.39,47,5.64,CN,1598537215
209,Hasaki,35.73,140.83,78.62,100,79.0,20,5.82,JP,1598537215
210,Kenora,49.82,-94.43,57.09,87,57.2,20,5.82,CA,1598537215
211,Gumdag,39.21,54.59,91.24,13,91.24,0,18.5,TM,1598537216
212,Derzhavīnsk,51.1,66.32,72.43,42,72.43,0,7.43,KZ,1598537216
213,Haines Junction,60.75,-137.51,43.88,76,43.88,100,2.62,CA,1598537216
214,Vanimo,-2.67,141.3,79.72,84,79.72,83,6.51,PG,1598537216
215,Pontiac,42.64,-83.29,80.38,74,82.99,20,13.87,US,1598537216
216,Hargeisa,9.56,44.06,85.32,37,85.32,100,11.16,SO,1598536938
217,Sola,-13.88,167.55,80.8,77,80.8,100,23.4,VU,1598537217
218,Zhigansk,66.77,123.37,46.26,57,46.26,11,5.55,RU,1598537217
219,Cap Malheureux,-19.98,57.61,73.0,73,73.0,0,5.99,MU,1598537217
220,Cam Ranh,11.92,109.16,89.6,70,89.6,40,2.24,VN,1598537217
221,Bredy,52.42,60.34,74.5,57,74.5,70,2.3,RU,1598537217
222,Moose Factory,51.26,-80.61,46.4,87,46.4,90,2.24,CA,1598537217
223,Kuching,1.55,110.33,77.0,88,77.0,40,1.12,MY,1598537218
224,Bairiki Village,1.33,172.98,78.8,83,78.8,20,3.36,KI,1598537218
225,Lakes Entrance,-37.88,147.98,46.99,82,46.99,8,1.99,AU,1598537218
226,George,-33.96,22.46,64.4,52,64.4,20,8.05,ZA,1598537218
227,Nizwá,22.93,57.53,86.83,47,86.83,100,14.47,OM,1598537218
228,Bandrele,-12.91,45.19,82.4,65,82.4,20,3.36,YT,1598537218
229,Boa Vista,2.82,-60.67,78.8,83,78.8,75,4.7,BR,1598537051
230,Virginia Beach,36.85,-75.98,81.64,69,84.0,1,10.29,US,1598536736
231,Port Lincoln,-34.73,135.87,53.19,89,53.19,0,2.8,AU,1598537219
232,Saint-Philippe,-21.36,55.77,69.6,53,75.2,90,4.7,RE,1598537219
233,Provideniya,64.38,-173.3,48.15,83,48.15,67,0.98,RU,1598537219
234,Esperance,-33.87,121.9,55.4,87,55.4,0,11.41,AU,1598537219
235,Bata,1.86,9.77,79.14,83,79.14,94,13.09,GQ,1598537220
236,Constitución,-35.33,-72.42,51.67,75,51.67,99,1.61,CL,1598537220
237,KwaDukuza,-29.33,31.29,68.0,68,68.0,0,26.4,ZA,1598537220
238,Kula,38.55,28.65,84.99,10,84.99,0,58.0,TR,1598537220
239,Lagoa,39.05,-27.98,74.03,84,74.03,60,5.28,PT,1598537220
240,Houndé,11.5,-3.52,84.54,67,84.54,78,5.46,BF,1598537166
241,Te Anau,-45.42,167.72,37.2,87,37.2,100,3.15,NZ,1598537221
242,Dom Pedro,-4.48,-44.45,94.59,39,94.59,91,3.67,BR,1598536933
243,Korsholm,63.11,21.68,59.58,59,60.8,0,9.17,FI,1598537221
244,Kaeo,-35.1,173.78,46.0,3,46.0,11,6.31,NZ,1598537221
245,Matara,5.95,80.54,80.38,80,80.38,52,10.71,LK,1598537221
246,Taltal,-25.4,-70.48,62.71,52,62.71,0,3.62,CL,1598537222
247,Kailua,21.4,-157.74,76.01,65,78.8,20,9.17,US,1598537222
248,Half Moon Bay,37.46,-122.43,55.33,100,57.2,90,5.08,US,1598537011
249,Kedrovyy,56.17,91.82,59.0,82,59.0,100,3.78,RU,1598537222
250,Iqaluit,63.75,-68.51,51.8,62,51.8,40,3.24,CA,1598537222
251,Khasan,42.43,130.64,72.5,96,72.5,99,11.83,RU,1598537223
252,San Cristobal,7.77,-72.22,78.8,78,78.8,40,5.75,VE,1598537223
253,Rabo de Peixe,37.8,-25.58,78.8,88,78.8,40,10.29,PT,1598537223
254,Clyde River,70.47,-68.59,50.0,66,50.0,1,3.36,CA,1598537223
255,Mersing,2.43,103.84,78.8,88,78.8,64,3.36,MY,1598537223
256,Morón,-34.65,-58.62,60.78,66,64.0,69,9.17,AR,1598537223
257,Bikaner,28.02,73.3,91.78,48,91.78,36,9.04,IN,1598537224
258,Atambua,-9.11,124.89,70.63,68,70.63,97,8.32,ID,1598537224
259,Lynn Haven,30.25,-85.65,85.6,80,87.01,100,4.0,US,1598537224
260,Qujing,25.48,103.78,64.2,85,64.2,0,7.52,CN,1598537224
261,Sur,22.57,59.53,88.2,65,88.2,15,1.41,OM,1598537224
262,Cosalá,24.41,-106.69,82.99,86,82.99,50,1.99,MX,1598537225
263,Guerrero Negro,27.98,-114.06,73.74,79,73.74,0,0.76,MX,1598537225
264,Alyangula,-13.85,136.42,69.8,94,69.8,0,2.24,AU,1598537225
265,Kahului,20.89,-156.47,74.25,65,78.8,40,12.75,US,1598537225
266,Biggar,55.62,-3.52,58.33,10,59.0,100,1.99,GB,1598537225
267,Hurghada,27.26,33.81,98.6,20,98.6,0,18.34,EG,1598537225
